Frec (KHz),Phi,|H(f)|
1,0,0.0121907243
5,-1,0.0121907243
10,-3,0
15,-5,0.02478144231
20,-8,-0.07585978034
25,-11,-0.2121849547
30,-20,-0.7001177299
31,-26,-0.9338273252
32,-30,-1.282716246
33,-33,-1.835407467
34,-40,-2.719480717
35,-47,-4.28132185
36,-51,-7.270448877
36.1,-55,-7.671819647
36.2,-55,-8.107085541
36.3,-56,-8.63411726
36.4,-56,-9.227358286
36.5,-56,-9.776560285
36.6,-57,-10.47307159
36.7,-57,-11.23885536
36.8,-56,-11.99437551
36.9,-55,-12.95896548
37,-54,-13.80273183
37.1,-51,-15.01135458
37.2,-47,-16.08276485
37.3,-43,-13.80273183
37.4,-36.5,-18.65081537
37.5,-25,-19.90481122
37.6,-11,-20.77537083
37.7,-5,-20.9337805
37.8,20,-20.31677161
37.9,32,-19.17867459
38,41,-17.89166806
38.1,47,-16.59798209
38.2,51,-15.3700496
38.3,53,-14.26815431
38.4,55,-13.36441455
38.5,56,-12.45087388
38.6,57,-11.65204351
38.7,57.3,-10.92805933
38.8,57,-10.19146557
38.9,57,-9.588626744
39,57,-9.030688232
39.1,56,-8.534546509
39.5,53,-6.857321294
40,49,-5.343434568
40.5,46,-4.28132185
41,43,-3.49233147
41.5,40,-2.899832686
42,37,-2.462202511
42.5,34,-2.117297113
43,32,-1.831361402
43.5,30,-1.560135926
44,28,-1.363553352
44.5,26.7,-1.201145758
45,25.3,-0.9099157709
45.5,24,-0.9615571681
50,18.6,-0.4286670659
55,12.6,-0.1754784862
65,8.2,-0.1286822001
75,6,0
90,4.6,0
120,3,0
200,0.9,0
300,0.8,0
